First Name,Last Name,Pos,Pro Team,Age,Percent Owned,Fantasy Team,Contract Started,Contract Length,Remaining Years,Value,Remaining Value,Fantasy Points,
Van,Jefferson,WR,LA  ,26,73.01,"Goff My Lawn",2022,1,1,500000,500000,0.00,
Jahan,Dotson,WR,WAS ,22,98.60,"Goff My Lawn",2022,1,1,500000,500000,19.00,
Rondale,Moore,WR,ARI ,22,97.48,"Goff My Lawn",2022,1,1,1500000,1500000,0.00,
Nico,Collins,WR,HOU ,23,86.43,"Goff My Lawn",2022,1,1,2000000,2000000,4.00,
Zamir,White,RB,LV  ,23,95.94,"Goff My Lawn",2022,1,1,500000,500000,0.00,
Matthew,Stafford,QB,LA  ,34,99.72,"Goff My Lawn",2022,2,2,20500000,20500000,10.00,
BUF,Team Defense,DF,BUF ,0,99.07,"Goff My Lawn",2022,1,1,4000000,4000000,17.00,
Tyler,Allgeier,RB,ATL ,22,91.75,"Herb Your Enthusiasm ",2022,1,1,500000,500000,0.00,
Brian,Robinson,RB,WAS ,23,96.64,"Herb Your Enthusiasm ",2022,1,1,500000,500000,0.00,
TEN,Team Defense,DF,TEN ,0,29.10,"Herb Your Enthusiasm ",2022,1,1,500000,500000,9.00,
MIN,Team Defense,DF,MIN ,0,29.41,"Herb Your Enthusiasm ",2022,1,1,500000,500000,12.00,
Travis,Etienne Jr.,RB,JAC ,23,100.00,"Herb Your Enthusiasm ",2022,3,3,82500000,82500000,7.00,
Justin,Herbert,QB,LAC ,24,99.72,"Herb Your Enthusiasm ",2022,4,4,170000000,170000000,23.00,
Hunter,Renfrow,WR,LV  ,27,99.16,"Herb Your Enthusiasm ",2022,1,1,4500000,4500000,5.00,
Matt,Gay,PK,LA  ,28,80.04,"Herb Your Enthusiasm ",2022,2,2,5000000,5000000,5.00,
Jakobi,Meyers,WR,NE  ,26,86.85,"Herb Your Enthusiasm ",2022,1,1,1500000,1500000,9.00,
David,Montgomery,RB,CHI ,25,100.00,"Herb Your Enthusiasm ",2022,3,3,75000000,75000000,7.00,
JuJu,Smith-Schuster,WR,KC  ,26,99.58,"Herb Your Enthusiasm ",2022,2,2,14000000,14000000,12.00,
Tyreek,Hill,WR,MIA ,28,100.00,"Herb Your Enthusiasm ",2022,3,3,103500000,103500000,17.00,
Austin,Hooper,TE,TEN ,28,62.80,"Herb Your Enthusiasm ",2022,1,1,1500000,1500000,1.00,
Stefon,Diggs,WR,BUF ,29,100.00,"Herb Your Enthusiasm ",2022,4,4,146500000,146500000,26.00,
Ezekiel,Elliott,RB,DAL ,27,100.00,"Herb Your Enthusiasm ",2022,2,2,31000000,31000000,6.00,
Melvin,Gordon III,RB,DEN ,29,99.16,"Herb Your Enthusiasm ",2022,1,1,4500000,4500000,7.00,
Zach,Ertz,TE,ARI ,32,97.90,"Herb Your Enthusiasm ",2022,2,2,8500000,8500000,11.00,
Tom,Brady,QB,TB  ,45,98.88,"Herb Your Enthusiasm ",2022,1,1,13000000,13000000,11.00,
Julio,Jones,WR,TB  ,33,87.97,"Herb Your Enthusiasm ",2022,1,1,500000,500000,10.00,
Nick,Folk,PK,NE  ,38,27.18,"Herb Your Enthusiasm ",2022,1,1,500000,500000,1.00,
Odell,Beckham Jr.,WR,FA  ,30,89.09,"Lazard People",2022,1,1,1000000,1000000,0.00,
Dalvin,Cook,RB,MIN ,27,100.00,"Lazard People",2022,3,3,121500000,121500000,13.00,
Gerald,Everett,TE,LAC ,28,75.80,"Lazard People",2022,1,1,2000000,2000000,14.00,
Cooper,Kupp,WR,LA  ,29,99.86,"Lazard People",2022,2,2,40000000,40000000,31.00,
Alvin,Kamara,RB,NO  ,27,100.00,"Lazard People",2022,3,3,99000000,99000000,6.00,
DJ,Moore,WR,CAR ,25,100.00,"Lazard People",2022,4,4,85000000,85000000,7.00,
Rashaad,Penny,RB,SEA ,26,99.44,"Lazard People",2022,1,1,6500000,6500000,8.00,
Dallas,Goedert,TE,PHI ,27,99.86,"Lazard People",2022,2,2,17000000,17000000,9.00,
Terry,McLaurin,WR,WAS ,27,99.86,"Lazard People",2022,3,3,60000000,60000000,13.00,
Allen,Lazard,WR,GB  ,27,97.34,"Lazard People",2022,1,1,3500000,3500000,0.00,
Dee,Eskridge,WR,SEA ,25,41.26,"Lazard People",2022,1,1,100000,100000,1.00,
Rashod,Bateman,WR,BAL ,23,99.86,"Lazard People",2022,2,2,36000000,36000000,13.00,
Trey,Lance,QB,SF  ,22,99.44,"Lazard People",2022,1,1,14000000,14000000,10.00,
Khalil,Herbert,RB,CHI ,24,94.97,"Lazard People",2022,1,1,1000000,1000000,11.00,
Chris,Evans,RB,CIN ,25,54.69,"Lazard People",2022,1,1,100000,100000,0.00,
Zack,Moss,RB,BUF ,25,71.33,"Lazard People",2022,1,1,100000,100000,8.00,
Justin,Fields,QB,CHI ,23,99.02,"Lazard People",2022,1,1,4000000,4000000,13.00,
Tyler,Bass,PK,BUF ,25,89.60,"Lazard People",2022,1,1,4000000,4000000,7.00,
Rodrigo,Blankenship,PK,IND ,25,44.16,"Lazard People",2022,1,1,500000,500000,8.00,
PIT,Team Defense,DF,PIT ,0,91.33,"Lazard People",2022,1,1,4000000,4000000,21.00,
LAC,Team Defense,DF,LAC ,0,61.92,"Lazard People",2022,1,1,500000,500000,12.00,
Kenneth,Walker III,RB,SEA ,22,99.86,"Lazard People",2022,2,2,13000000,13000000,0.00,
Skyy,Moore,WR,KC  ,22,99.44,"Lazard People",2022,4,4,10500000,10500000,4.00,
Khalil,Shakir,WR,BUF ,22,54.13,"Lazard People",2022,1,1,150000,150000,0.00,
David,Bell,WR,CLE ,22,85.17,"London Spitfires",2022,1,1,250000,250000,0.00,
Jalen,Tolbert,WR,DAL ,23,89.09,"London Spitfires",2022,1,1,250000,250000,0.00,
Christian,Watson,WR,GB  ,23,99.58,"London Spitfires",2022,1,1,500000,500000,5.00,
James,Cook,RB,BUF ,23,99.72,"London Spitfires",2022,1,1,5000000,5000000,-1.00,
Rachaad,White,RB,TB  ,23,98.88,"London Spitfires",2022,1,1,3500000,3500000,3.00,
Breece,Hall,RB,NYJ ,21,100.00,"London Spitfires",2022,4,4,81500000,81500000,10.00,
Jordan,Mason,RB,SF  ,23,21.26,"London Spitfires",2022,1,1,100000,100000,0.00,
Dameon,Pierce,RB,HOU ,22,99.58,"London Spitfires",2022,1,1,6500000,6500000,4.00,
DAL,Team Defense,DF,DAL ,0,80.19,"London Spitfires",2022,1,1,2500000,2500000,4.00,
LA,Team Defense,DF,LA  ,0,97.21,"London Spitfires",2022,2,2,4500000,4500000,6.00,
Albert,Okwuegbunam,TE,DEN ,24,96.22,"London Spitfires",2022,1,1,3000000,3000000,8.00,
Eno,Benjamin,RB,ARI ,23,65.45,"London Spitfires",2022,1,1,300000,300000,8.00,
Tee,Higgins,WR,CIN ,23,100.00,"London Spitfires",2022,4,4,151000000,151000000,4.00,
Chris,Olave,WR,NO  ,22,100.00,"London Spitfires",2022,1,1,6500000,6500000,9.00,
Treylon,Burks,WR,TEN ,22,99.58,"London Spitfires",2022,1,1,4500000,4500000,8.00,
Josh,Jacobs,RB,LV  ,24,100.00,"London Spitfires",2022,3,3,49000000,49000000,7.00,
Joe,Burrow,QB,CIN ,26,99.72,"London Spitfires",2022,3,3,98000000,98000000,22.00,
Robert,Tonyan,TE,GB  ,28,79.02,"London Spitfires",2022,1,1,2000000,2000000,6.00,
Younghoe,Koo,PK,ATL ,28,76.01,"London Spitfires",2022,1,1,4000000,4000000,15.00,
Dak,Prescott,QB,DAL ,29,99.58,"London Spitfires",2022,2,2,16000000,16000000,5.00,
Greg,Zuerlein,PK,NYJ ,35,61.15,"London Spitfires",2022,1,1,1000000,1000000,3.00,
Keenan,Allen,WR,LAC ,30,100.00,"London Spitfires",2022,2,2,45500000,45500000,10.00,
Davante,Adams,WR,LV  ,30,100.00,"London Spitfires",2022,3,3,60500000,60500000,30.00,
Allen,Robinson II,WR,LA  ,29,99.72,"London Spitfires",2022,1,1,11500000,11500000,2.00,
Kirk,Cousins,QB,MIN ,34,95.80,"Stompin' Nightmares",2022,1,1,3000000,3000000,19.00,
Darren,Waller,TE,LV  ,30,100.00,"Stompin' Nightmares",2022,3,3,72000000,72000000,11.00,
Russell,Wilson,QB,DEN ,34,99.72,"Stompin' Nightmares",2022,3,3,14000000,14000000,17.00,
Robert,Woods,WR,TEN ,30,98.46,"Stompin' Nightmares",2022,1,1,4500000,4500000,2.00,
Cordarrelle,Patterson,RB,ATL ,31,99.58,"Stompin' Nightmares",2022,2,2,10000000,10000000,22.00,
Adam,Thielen,WR,MIN ,32,99.58,"Stompin' Nightmares",2022,1,1,4000000,4000000,6.00,
Tyler,Boyd,WR,CIN ,28,93.29,"Stompin' Nightmares",2022,1,1,5500000,5500000,13.00,
Hunter,Henry,TE,NE  ,28,94.41,"Stompin' Nightmares",2022,1,1,2000000,2000000,4.00,
Derrick,Henry,RB,TEN ,28,100.00,"Stompin' Nightmares",2022,4,4,148500000,148500000,8.00,
Wil,Lutz,PK,NO  ,28,77.49,"Stompin' Nightmares",2022,1,1,500000,500000,8.00,
Isaiah,McKenzie,WR,BUF ,27,60.98,"Stompin' Nightmares",2022,1,1,500000,500000,9.00,
James,Conner,RB,ARI ,27,99.86,"Stompin' Nightmares",2022,3,3,50500000,50500000,15.00,
Damien,Harris,RB,NE  ,25,99.58,"Stompin' Nightmares",2022,1,1,6500000,6500000,7.00,
Marquise,Brown,WR,ARI ,25,99.72,"Stompin' Nightmares",2022,2,2,37000000,37000000,14.00,
Deebo,Samuel,WR,SF  ,26,100.00,"Stompin' Nightmares",2022,4,4,181000000,181000000,13.00,
Darrell,Henderson Jr.,RB,LA  ,25,98.04,"Stompin' Nightmares",2022,1,1,2000000,2000000,11.00,
Evan,McPherson,PK,CIN ,23,91.30,"Stompin' Nightmares",2022,1,1,4500000,4500000,7.00,
Amon-Ra,St. Brown,WR,DET ,23,99.86,"Stompin' Nightmares",2022,2,2,48500000,48500000,20.00,
Cole,Kmet,TE,CHI ,23,98.46,"Stompin' Nightmares",2022,1,1,4000000,4000000,0.00,
TB,Team Defense,DF,TB  ,0,91.95,"Stompin' Nightmares",2022,1,1,3000000,3000000,13.00,
CLE,Team Defense,DF,CLE ,0,56.35,"Super Lamario",2022,1,1,1000000,1000000,5.00,
Graham,Gano,PK,NYG ,35,16.14,"Super Lamario",2022,1,1,500000,500000,1.00,
CHI,Team Defense,DF,CHI ,0,51.08,"Super Lamario",2022,1,1,500000,500000,10.00,
Chase,Claypool,WR,PIT ,24,99.30,"Super Lamario",2022,1,1,6000000,6000000,8.00,
Michael,Pittman Jr.,WR,IND ,25,99.86,"Super Lamario",2022,2,2,51000000,51000000,27.00,
Jonathan,Taylor,RB,IND ,23,100.00,"Super Lamario",2022,4,4,183500000,183500000,27.00,
Laviska,Shenault Jr.,WR,CAR ,24,81.68,"Super Lamario",2022,1,1,500000,500000,0.00,
Ke'Shawn,Vaughn,RB,TB  ,25,54.27,"Super Lamario",2022,1,1,500000,500000,0.00,
Jaylen,Waddle,WR,MIA ,24,100.00,"Super Lamario",2022,3,3,120000000,120000000,16.00,
Najee,Harris,RB,PIT ,24,100.00,"Super Lamario",2022,4,4,191000000,191000000,10.00,
Elijah,Mitchell,RB,SF  ,24,99.86,"Super Lamario",2022,2,2,50000000,50000000,4.00,
Brevin,Jordan,TE,HOU ,22,59.30,"Super Lamario",2022,1,1,500000,500000,1.00,
Gus,Edwards,RB,BAL ,27,74.83,"Super Lamario",2022,1,1,500000,500000,0.00,
Russell,Gage,WR,TB  ,26,85.45,"Super Lamario",2022,1,1,1500000,1500000,3.00,
Daniel,Jones,QB,NYG ,25,66.43,"Super Lamario",2022,1,1,500000,500000,17.00,
J.D.,McKissic,RB,WAS ,29,88.25,"Super Lamario",2022,1,1,500000,500000,7.00,
Carson,Wentz,QB,WAS ,30,68.39,"Super Lamario",2022,1,1,500000,500000,29.00,
Derek,Carr,QB,LV  ,31,98.60,"Super Lamario",2022,1,1,5000000,5000000,16.00,
Logan,Thomas,TE,WAS ,31,74.97,"Super Lamario",2022,1,1,5000000,5000000,7.00,
Mason,Crosby,PK,GB  ,38,34.82,"Super Lamario",2022,1,1,500000,500000,1.00,
Matt,Prater,PK,ARI ,38,92.36,"The Real Slim Brady",2022,1,1,2500000,2500000,1.00,
Jimmy,Garoppolo,QB,SF  ,31,42.66,"The Real Slim Brady",2022,1,1,500000,500000,0.00,
William,Fuller V,WR,FA  ,28,51.05,"The Real Slim Brady",2022,1,1,1000000,1000000,0.00,
David,Njoku,TE,CLE ,26,91.33,"The Real Slim Brady",2022,1,1,2000000,2000000,1.00,
Patrick,Mahomes II,QB,KC  ,27,99.72,"The Real Slim Brady",2022,3,3,123000000,123000000,34.00,
Devin,Singletary,RB,BUF ,25,98.74,"The Real Slim Brady",2022,1,1,4500000,4500000,7.00,
Alexander,Mattison,RB,MIN ,24,97.06,"The Real Slim Brady",2022,1,1,1000000,1000000,3.00,
Noah,Fant,TE,SEA ,25,96.22,"The Real Slim Brady",2022,2,2,7500000,7500000,4.00,
Jamaal,Williams,RB,DET ,27,82.52,"The Real Slim Brady",2022,1,1,2000000,2000000,15.00,
Jake,Elliott,PK,PHI ,27,51.17,"The Real Slim Brady",2022,1,1,1500000,1500000,8.00,
Aaron,Jones,RB,GB  ,28,100.00,"The Real Slim Brady",2022,3,3,120000000,120000000,9.00,
Christian,Kirk,WR,JAC ,26,98.04,"The Real Slim Brady",2022,2,2,10500000,10500000,17.00,
Michael,Gallup,WR,DAL ,26,96.08,"The Real Slim Brady",2022,2,2,6500000,6500000,0.00,
Garrett,Wilson,WR,NYJ ,22,99.30,"The Real Slim Brady",2022,3,3,11000000,11000000,9.00,
Jameson,Williams,WR,DET ,21,99.16,"The Real Slim Brady",2022,1,1,2000000,2000000,0.00,
Javonte,Williams,RB,DEN ,22,100.00,"The Real Slim Brady",2022,4,4,166500000,166500000,20.00,
Ja'Marr,Chase,WR,CIN ,22,100.00,"The Real Slim Brady",2022,4,4,205500000,205500000,28.00,
Donovan,Peoples-Jones,WR,CLE ,23,65.31,"The Real Slim Brady",2022,1,1,450000,450000,12.00,
Kadarius,Toney,WR,NYG ,23,98.60,"The Real Slim Brady",2022,1,1,9000000,9000000,2.00,
Isaiah,Likely,TE,BAL ,22,67.41,"The Real Slim Brady",2022,1,1,200000,200000,0.00,
Alec,Pierce,WR,IND ,22,93.15,"The Real Slim Brady",2022,1,1,450000,450000,0.00,
BAL,Team Defense,DF,BAL ,0,98.45,"The Real Slim Brady",2022,1,1,500000,500000,11.00,
LV,Team Defense,DF,LV  ,0,3.10,"The Real Slim Brady",2022,1,1,500000,500000,-1.00,
PHI,Team Defense,DF,PHI ,0,44.58,"Throwin' Bombs, Bangin' Moms",2022,1,1,1000000,1000000,0.00,
Wan'Dale,Robinson,WR,NYG ,21,83.64,"Throwin' Bombs, Bangin' Moms",2022,1,1,500000,500000,1.00,
George,Pickens,WR,PIT ,21,99.44,"Throwin' Bombs, Bangin' Moms",2022,3,3,4500000,4500000,1.00,
Isiah,Pacheco,RB,KC  ,22,85.87,"Throwin' Bombs, Bangin' Moms",2022,1,1,3000000,3000000,12.00,
Hassan,Haskins,RB,TEN ,23,59.16,"Throwin' Bombs, Bangin' Moms",2022,1,1,100000,100000,0.00,
Romeo,Doubs,WR,GB  ,22,89.79,"Throwin' Bombs, Bangin' Moms",2022,1,1,500000,500000,8.00,
DEN,Team Defense,DF,DEN ,0,94.74,"Throwin' Bombs, Bangin' Moms",2022,1,1,1500000,1500000,5.00,
Gabe,Davis,WR,BUF ,23,99.58,"Throwin' Bombs, Bangin' Moms",2022,3,3,47500000,47500000,18.00,
Devin,Duvernay,WR,BAL ,25,38.04,"Throwin' Bombs, Bangin' Moms",2022,1,1,100000,100000,21.00,
Jalen,Hurts,QB,PHI ,24,99.58,"Throwin' Bombs, Bangin' Moms",2022,2,2,17500000,17500000,24.00,
D'Andre,Swift,RB,DET ,23,100.00,"Throwin' Bombs, Bangin' Moms",2022,4,4,161000000,161000000,26.00,
KJ,Hamler,WR,DEN ,23,64.48,"Throwin' Bombs, Bangin' Moms",2022,1,1,200000,200000,0.00,
